Date,Time,Temperature,Weather,Wind,Humidity,Barometer,Visibility
2024-07-29,,29 °C,Passing clouds.,7 km/h,↑,74%,1010 mbar
2024-07-29,,29 °C,Passing clouds.,11 km/h,↑,74%,1009 mbar
2024-07-29,,28 °C,Passing clouds.,11 km/h,↑,79%,1009 mbar
2024-07-29,,28 °C,Passing clouds.,9 km/h,↑,79%,1008 mbar
2024-07-29,,28 °C,Passing clouds.,9 km/h,↑,79%,1008 mbar
2024-07-29,,29 °C,Passing clouds.,11 km/h,↑,74%,1008 mbar
2024-07-29,,29 °C,Passing clouds.,11 km/h,↑,74%,1009 mbar
2024-07-29,,29 °C,Partly sunny.,11 km/h,↑,74%,1009 mbar
2024-07-29,,30 °C,Partly sunny.,15 km/h,↑,70%,1010 mbar
2024-07-29,,30 °C,Partly sunny.,13 km/h,↑,70%,1010 mbar
2024-07-29,,31 °C,Broken clouds.,17 km/h,↑,62%,1010 mbar
2024-07-29,,32 °C,Partly sunny.,17 km/h,↑,59%,1010 mbar
2024-07-29,,32 °C,Broken clouds.,17 km/h,↑,63%,1009 mbar
2024-07-29,,33 °C,Broken clouds.,17 km/h,↑,56%,1009 mbar
2024-07-29,,33 °C,Partly sunny.,17 km/h,↑,56%,1008 mbar
2024-07-29,,33 °C,Partly sunny.,19 km/h,↑,56%,1007 mbar
2024-07-29,,32 °C,Partly sunny.,17 km/h,↑,63%,1007 mbar
2024-07-29,,31 °C,Partly sunny.,17 km/h,↑,62%,1008 mbar
2024-07-29,,30 °C,Partly sunny.,15 km/h,↑,70%,1008 mbar
2024-07-29,,30 °C,Passing clouds.,15 km/h,↑,70%,1009 mbar
2024-07-29,,29 °C,Partly cloudy.,15 km/h,↑,74%,1009 mbar
2024-07-29,,29 °C,Passing clouds.,9 km/h,↑,70%,1010 mbar
2024-07-29,,29 °C,Passing clouds.,11 km/h,↑,70%,1011 mbar
2024-07-28,,29 °C,Passing clouds.,11 km/h,↑,74%,1011 mbar
2024-07-28,,29 °C,Passing clouds.,11 km/h,↑,74%,1011 mbar
2024-07-28,,29 °C,Passing clouds.,11 km/h,↑,74%,1010 mbar
2024-07-28,,28 °C,Passing clouds.,9 km/h,↑,79%,1010 mbar
2024-07-28,,28 °C,Passing clouds.,9 km/h,↑,79%,1010 mbar
2024-07-28,,28 °C,Passing clouds.,6 km/h,↑,79%,1010 mbar
2024-07-28,,28 °C,Passing clouds.,11 km/h,↑,79%,1010 mbar
2024-07-28,,28 °C,Passing clouds.,7 km/h,↑,79%,1010 mbar
2024-07-28,,29 °C,Partly sunny.,13 km/h,↑,74%,1011 mbar
2024-07-28,,30 °C,Partly sunny.,17 km/h,↑,70%,1011 mbar
2024-07-28,,31 °C,Partly sunny.,19 km/h,↑,62%,1011 mbar
2024-07-28,,32 °C,Partly sunny.,15 km/h,↑,59%,1011 mbar
2024-07-28,,32 °C,Partly sunny.,20 km/h,↑,59%,1010 mbar
2024-07-28,,33 °C,Partly sunny.,22 km/h,↑,52%,1009 mbar
2024-07-28,,34 °C,Partly sunny.,17 km/h,↑,47%,1009 mbar
2024-07-28,,33 °C,Partly sunny.,24 km/h,↑,49%,1008 mbar
2024-07-28,,33 °C,Partly sunny.,22 km/h,↑,49%,1007 mbar
2024-07-28,,33 °C,Partly sunny.,22 km/h,↑,49%,1007 mbar
2024-07-28,,32 °C,Partly sunny.,20 km/h,↑,52%,1008 mbar
2024-07-28,,30 °C,Broken clouds.,15 km/h,↑,70%,1009 mbar
2024-07-28,,30 °C,Passing clouds.,19 km/h,↑,70%,1009 mbar
2024-07-28,,29 °C,Passing clouds.,15 km/h,↑,70%,1010 mbar
2024-07-28,,29 °C,Passing clouds.,17 km/h,↑,70%,1010 mbar
2024-07-28,,29 °C,Passing clouds.,15 km/h,↑,74%,1010 mbar
2024-07-27,,29 °C,Passing clouds.,13 km/h,↑,74%,1011 mbar
2024-07-27,,29 °C,Passing clouds.,15 km/h,↑,74%,1010 mbar
2024-07-27,,28 °C,Passing clouds.,9 km/h,↑,79%,1010 mbar
2024-07-27,,29 °C,Passing clouds.,11 km/h,↑,74%,1010 mbar
2024-07-27,,29 °C,Passing clouds.,13 km/h,↑,70%,1010 mbar
2024-07-27,,29 °C,Passing clouds.,11 km/h,↑,70%,1010 mbar
2024-07-27,,29 °C,Passing clouds.,9 km/h,↑,74%,1010 mbar
2024-07-27,,29 °C,Passing clouds.,11 km/h,↑,74%,1011 mbar
2024-07-27,,29 °C,Partly sunny.,11 km/h,↑,74%,1011 mbar
2024-07-27,,30 °C,Partly sunny.,15 km/h,↑,70%,1012 mbar
2024-07-27,,31 °C,Partly sunny.,17 km/h,↑,66%,1012 mbar
2024-07-27,,31 °C,Partly sunny.,19 km/h,↑,62%,1011 mbar
2024-07-27,,33 °C,Partly sunny.,20 km/h,↑,52%,1010 mbar
2024-07-27,,32 °C,Broken clouds.,17 km/h,↑,59%,1010 mbar
2024-07-27,,32 °C,Broken clouds.,13 km/h,↑,59%,1009 mbar
2024-07-27,,32 °C,Broken clouds.,13 km/h,↑,59%,1009 mbar
2024-07-27,,33 °C,Partly sunny.,22 km/h,↑,46%,1008 mbar
2024-07-27,,33 °C,Partly sunny.,19 km/h,↑,49%,1008 mbar
2024-07-27,,32 °C,Partly sunny.,17 km/h,↑,55%,1009 mbar
2024-07-27,,30 °C,Partly sunny.,17 km/h,↑,70%,1009 mbar
2024-07-27,,30 °C,Passing clouds.,15 km/h,↑,70%,1010 mbar
2024-07-27,,29 °C,Passing clouds.,13 km/h,↑,74%,1011 mbar
2024-07-27,,29 °C,Passing clouds.,13 km/h,↑,74%,1011 mbar
2024-07-27,,29 °C,Passing clouds.,17 km/h,↑,70%,1011 mbar
2024-07-26,,29 °C,Passing clouds.,9 km/h,↑,70%,1009 mbar
2024-07-26,,29 °C,Passing clouds.,7 km/h,↑,70%,1009 mbar
2024-07-26,,29 °C,Passing clouds.,7 km/h,↑,74%,1009 mbar
2024-07-26,,28 °C,Passing clouds.,11 km/h,↑,79%,1008 mbar
2024-07-26,,28 °C,Passing clouds.,13 km/h,↑,79%,1008 mbar
2024-07-26,,29 °C,Passing clouds.,11 km/h,↑,70%,1008 mbar
2024-07-26,,28 °C,Passing clouds.,13 km/h,↑,74%,1008 mbar
2024-07-26,,28 °C,Passing clouds.,11 km/h,↑,79%,1008 mbar
2024-07-26,,29 °C,Partly sunny.,15 km/h,↑,74%,1009 mbar
2024-07-26,,30 °C,Partly sunny.,15 km/h,↑,70%,1010 mbar
2024-07-26,,30 °C,Partly sunny.,19 km/h,↑,70%,1010 mbar
2024-07-26,,31 °C,Partly sunny.,15 km/h,↑,62%,1010 mbar
2024-07-26,,32 °C,Partly sunny.,20 km/h,↑,59%,1010 mbar
2024-07-26,,33 °C,Partly sunny.,20 km/h,↑,56%,1009 mbar
2024-07-26,,33 °C,Partly sunny.,26 km/h,↑,52%,1008 mbar
2024-07-26,,32 °C,Partly sunny.,19 km/h,↑,55%,1008 mbar
2024-07-26,,32 °C,Partly sunny.,19 km/h,↑,55%,1007 mbar
2024-07-26,,32 °C,Partly sunny.,20 km/h,↑,52%,1007 mbar
2024-07-26,,32 °C,Partly sunny.,20 km/h,↑,55%,1008 mbar
2024-07-26,,31 °C,Partly sunny.,19 km/h,↑,59%,1008 mbar
2024-07-26,,30 °C,Passing clouds.,13 km/h,↑,70%,1009 mbar
2024-07-26,,29 °C,Passing clouds.,15 km/h,↑,74%,1010 mbar
2024-07-26,,29 °C,Passing clouds.,15 km/h,↑,74%,1011 mbar
2024-07-26,,29 °C,Passing clouds.,13 km/h,↑,74%,1011 mbar
2024-07-25,,29 °C,Passing clouds.,7 km/h,↑,70%,1010 mbar
2024-07-25,,29 °C,Passing clouds.,7 km/h,↑,70%,1009 mbar
2024-07-25,,29 °C,Passing clouds.,9 km/h,↑,70%,1009 mbar
2024-07-25,,28 °C,Passing clouds.,7 km/h,↑,79%,1008 mbar
2024-07-25,,28 °C,Passing clouds.,4 km/h,↑,79%,1008 mbar
2024-07-25,,28 °C,Passing clouds.,7 km/h,↑,79%,1008 mbar
2024-07-25,,28 °C,Passing clouds.,7 km/h,↑,79%,1008 mbar
2024-07-25,,28 °C,Passing clouds.,7 km/h,↑,79%,1008 mbar
2024-07-25,,29 °C,Partly sunny.,7 km/h,↑,79%,1008 mbar
2024-07-25,,30 °C,Partly sunny.,13 km/h,↑,70%,1009 mbar
2024-07-25,,30 °C,Broken clouds.,13 km/h,↑,70%,1009 mbar
2024-07-25,,31 °C,Broken clouds.,17 km/h,↑,62%,1009 mbar
2024-07-25,,32 °C,Partly sunny.,20 km/h,↑,59%,1009 mbar
2024-07-25,,33 °C,Partly sunny.,22 km/h,↑,52%,1008 mbar
2024-07-25,,32 °C,Partly sunny.,24 km/h,↑,59%,1008 mbar
2024-07-25,,33 °C,Partly sunny.,24 km/h,↑,52%,1007 mbar
2024-07-25,,32 °C,Partly sunny.,24 km/h,↑,52%,1006 mbar
2024-07-25,,32 °C,Partly sunny.,22 km/h,↑,52%,1006 mbar
2024-07-25,,31 °C,Partly sunny.,19 km/h,↑,55%,1006 mbar
2024-07-25,,31 °C,Partly sunny.,15 km/h,↑,55%,1007 mbar
2024-07-25,,30 °C,Passing clouds.,15 km/h,↑,62%,1007 mbar
2024-07-25,,30 °C,Passing clouds.,11 km/h,↑,66%,1008 mbar
2024-07-25,,29 °C,Passing clouds.,11 km/h,↑,74%,1009 mbar
2024-07-25,,29 °C,Passing clouds.,9 km/h,↑,74%,1009 mbar
2024-07-24,,29 °C,Passing clouds.,15 km/h,↑,74%,1011 mbar
2024-07-24,,29 °C,Passing clouds.,9 km/h,↑,74%,1010 mbar
2024-07-24,,29 °C,Passing clouds.,9 km/h,↑,74%,1010 mbar
2024-07-24,,29 °C,Passing clouds.,7 km/h,↑,74%,1009 mbar
2024-07-24,,28 °C,Passing clouds.,7 km/h,↑,79%,1009 mbar
2024-07-24,,28 °C,Passing clouds.,6 km/h,↑,79%,1009 mbar
2024-07-24,,28 °C,Passing clouds.,9 km/h,↑,79%,1009 mbar
2024-07-24,,28 °C,Passing clouds.,9 km/h,↑,84%,1009 mbar
2024-07-24,,29 °C,Partly sunny.,9 km/h,↑,79%,1010 mbar
2024-07-24,,30 °C,Partly sunny.,15 km/h,↑,70%,1010 mbar
2024-07-24,,31 °C,Partly sunny.,13 km/h,↑,70%,1010 mbar
2024-07-24,,31 °C,Partly sunny.,11 km/h,↑,66%,1010 mbar
2024-07-24,,32 °C,Broken clouds.,15 km/h,↑,63%,1009 mbar
2024-07-24,,32 °C,Broken clouds.,20 km/h,↑,63%,1009 mbar
2024-07-24,,32 °C,Partly sunny.,22 km/h,↑,63%,1008 mbar
2024-07-24,,32 °C,Partly sunny.,22 km/h,↑,63%,1007 mbar
2024-07-24,,32 °C,Partly sunny.,20 km/h,↑,59%,1007 mbar
2024-07-24,,31 °C,Partly sunny.,19 km/h,↑,66%,1007 mbar
2024-07-24,,31 °C,Partly sunny.,17 km/h,↑,66%,1006 mbar
2024-07-24,,31 °C,Partly sunny.,15 km/h,↑,62%,1007 mbar
2024-07-24,,30 °C,Passing clouds.,13 km/h,↑,66%,1007 mbar
2024-07-24,,30 °C,Passing clouds.,11 km/h,↑,66%,1008 mbar
2024-07-24,,29 °C,Passing clouds.,9 km/h,↑,70%,1009 mbar
2024-07-24,,29 °C,Passing clouds.,7 km/h,↑,70%,1009 mbar
2024-07-23,,29 °C,Partly cloudy.,13 km/h,↑,74%,1012 mbar
2024-07-23,,29 °C,Passing clouds.,9 km/h,↑,79%,1012 mbar
2024-07-23,,29 °C,Passing clouds.,11 km/h,↑,79%,1011 mbar
2024-07-23,,29 °C,Passing clouds.,7 km/h,↑,79%,1011 mbar
2024-07-23,,29 °C,Passing clouds.,6 km/h,↑,79%,1011 mbar
2024-07-23,,28 °C,Passing clouds.,4 km/h,↑,84%,1011 mbar
2024-07-23,,28 °C,Passing clouds.,4 km/h,↑,84%,1011 mbar
2024-07-23,,28 °C,Passing clouds.,4 km/h,↑,84%,1011 mbar
2024-07-23,,29 °C,Partly sunny.,9 km/h,↑,79%,1011 mbar
2024-07-23,,30 °C,Partly sunny.,13 km/h,↑,75%,1012 mbar
2024-07-23,,31 °C,Broken clouds.,13 km/h,↑,70%,1012 mbar
2024-07-23,,32 °C,Broken clouds.,13 km/h,↑,63%,1012 mbar
2024-07-23,,31 °C,Scattered clouds.,17 km/h,↑,70%,1012 mbar
2024-07-23,,32 °C,Partly sunny.,13 km/h,↑,63%,1011 mbar
2024-07-23,,33 °C,Partly sunny.,17 km/h,↑,63%,1010 mbar
2024-07-23,,33 °C,Partly sunny.,20 km/h,↑,56%,1010 mbar
2024-07-23,,33 °C,Partly sunny.,17 km/h,↑,59%,1009 mbar
2024-07-23,,33 °C,Partly sunny.,17 km/h,↑,56%,1009 mbar
2024-07-23,,32 °C,Partly sunny.,13 km/h,↑,59%,1009 mbar
2024-07-23,,30 °C,Partly sunny.,13 km/h,↑,75%,1009 mbar
2024-07-23,,30 °C,Passing clouds.,15 km/h,↑,70%,1009 mbar
2024-07-23,,30 °C,Passing clouds.,15 km/h,↑,70%,1010 mbar
2024-07-23,,29 °C,Passing clouds.,13 km/h,↑,74%,1010 mbar
2024-07-23,,29 °C,Passing clouds.,13 km/h,↑,74%,1011 mbar
2024-07-22,,29 °C,Passing clouds.,11 km/h,↑,74%,1012 mbar
2024-07-22,,29 °C,Passing clouds.,7 km/h,↑,79%,1011 mbar
2024-07-22,,29 °C,Passing clouds.,9 km/h,↑,79%,1011 mbar
2024-07-22,,29 °C,Passing clouds.,9 km/h,↑,79%,1010 mbar
2024-07-22,,29 °C,Passing clouds.,9 km/h,↑,79%,1010 mbar
2024-07-22,,29 °C,Passing clouds.,7 km/h,↑,79%,1010 mbar
2024-07-22,,29 °C,Passing clouds.,7 km/h,↑,79%,1010 mbar
2024-07-22,,29 °C,Passing clouds.,11 km/h,↑,79%,1011 mbar
2024-07-22,,29 °C,Partly sunny.,15 km/h,↑,79%,1011 mbar
2024-07-22,,30 °C,Partly sunny.,15 km/h,↑,75%,1011 mbar
2024-07-22,,31 °C,Broken clouds.,19 km/h,↑,70%,1012 mbar
2024-07-22,,31 °C,Broken clouds.,17 km/h,↑,66%,1012 mbar
2024-07-22,,31 °C,Scattered showers. Partly sunny.,17 km/h,↑,66%,1012 mbar
2024-07-22,,31 °C,Partly sunny.,13 km/h,↑,66%,1011 mbar
2024-07-22,,32 °C,Partly sunny.,19 km/h,↑,63%,1011 mbar
2024-07-22,,33 °C,Partly sunny.,22 km/h,↑,56%,1010 mbar
2024-07-22,,33 °C,Partly sunny.,19 km/h,↑,56%,1009 mbar
2024-07-22,,33 °C,Partly sunny.,20 km/h,↑,56%,1009 mbar
2024-07-22,,32 °C,Broken clouds.,17 km/h,↑,59%,1009 mbar
2024-07-22,,31 °C,Partly sunny.,15 km/h,↑,62%,1009 mbar
2024-07-22,,30 °C,Passing clouds.,13 km/h,↑,70%,1010 mbar
2024-07-22,,30 °C,Passing clouds.,13 km/h,↑,70%,1011 mbar
2024-07-22,,30 °C,Partly cloudy.,13 km/h,↑,75%,1011 mbar
2024-07-22,,29 °C,Partly cloudy.,9 km/h,↑,74%,1012 mbar
